trial	subj	age	gender	stimulustype	item	condition	word	position	rt	correct
0	8	21	F	Filler	67	4	The	1	1080.0	NA
0	8	21	F	Filler	67	4	restaurant	2	350.0	NA
0	8	21	F	Filler	67	4	was	3	381.0	NA
0	8	21	F	Filler	67	4	famous	4	367.0	NA
0	8	21	F	Filler	67	4	for	5	335.0	NA
0	8	21	F	Filler	67	4	its	6	351.0	NA
0	8	21	F	Filler	67	4	French	7	416.0	NA
0	8	21	F	Filler	67	4	pastries	8	450.0	NA
0	8	21	F	Filler	67	4	and	9	402.0	NA
0	8	21	F	Filler	67	4	fine	10	330.0	NA
0	8	21	F	Filler	67	4	wines.	11	319.0	NA
0	8	21	F	Question	67	4	NA	NA	1432.0	1
1	8	21	F	swets	19	2	The	1	764.0	NA
1	8	21	F	swets	19	2	mistress	2	317.0	NA
1	8	21	F	swets	19	2	of	3	300.0	NA
1	8	21	F	swets	19	2	the	4	450.0	NA
1	8	21	F	swets	19	2	actor	5	347.0	NA
1	8	21	F	swets	19	2	who	6	286.0	NA
1	8	21	F	swets	19	2	hated	7	315.0	NA
1	8	21	F	swets	19	2	himself	8	318.0	NA
1	8	21	F	swets	19	2	for	9	583.0	NA
1	8	21	F	swets	19	2	lying	10	300.0	NA
1	8	21	F	swets	19	2	left	11	267.0	NA
1	8	21	F	swets	19	2	town	12	584.0	NA
1	8	21	F	swets	19	2	in	13	632.0	NA
1	8	21	F	swets	19	2	a	14	368.0	NA
1	8	21	F	swets	19	2	hurry.	15	531.0	NA
1	8	21	F	Question	19	2	NA	NA	2236.0	1
2	8	21	F	Filler	60	4	The	1	814.0	NA
2	8	21	F	Filler	60	4	newlyweds	2	316.0	NA
2	8	21	F	Filler	60	4	were	3	648.0	NA
2	8	21	F	Filler	60	4	nervous	4	986.0	NA
2	8	21	F	Filler	60	4	about	5	383.0	NA
2	8	21	F	Filler	60	4	their	6	349.0	NA
2	8	21	F	Filler	60	4	new	7	368.0	NA
2	8	21	F	Filler	60	4	life	8	332.0	NA
2	8	21	F	Filler	60	4	together.	9	333.0	NA
2	8	21	F	Question	60	4	NA	NA	1336.0	1
3	8	21	F	swets	4	2	The	1	427.0	NA
3	8	21	F	swets	4	2	father	2	287.0	NA
3	8	21	F	swets	4	2	of	3	300.0	NA
3	8	21	F	swets	4	2	the	4	265.0	NA
3	8	21	F	swets	4	2	bride	5	336.0	NA
3	8	21	F	swets	4	2	who	6	383.0	NA
3	8	21	F	swets	4	2	embarrassed	7	582.0	NA
3	8	21	F	swets	4	2	herself	8	402.0	NA
3	8	21	F	swets	4	2	at	9	384.0	NA
3	8	21	F	swets	4	2	the	10	331.0	NA
3	8	21	F	swets	4	2	reception	11	285.0	NA
3	8	21	F	swets	4	2	was	12	367.0	NA
3	8	21	F	swets	4	2	complaining	13	368.0	NA
3	8	21	F	swets	4	2	to	14	400.0	NA
3	8	21	F	swets	4	2	the	15	364.0	NA
3	8	21	F	swets	4	2	priest.	16	369.0	NA
3	8	21	F	Question	4	2	NA	NA	3865.0	1
4	8	21	F	Filler	107	5	The	1	1013.0	NA
4	8	21	F	Filler	107	5	citizens	2	298.0	NA
4	8	21	F	Filler	107	5	were	3	316.0	NA
4	8	21	F	Filler	107	5	dissatisfied	4	269.0	NA
4	8	21	F	Filler	107	5	with	5	384.0	NA
4	8	21	F	Filler	107	5	the	6	317.0	NA
4	8	21	F	Filler	107	5	mayor	7	384.0	NA
4	8	21	F	Filler	107	5	of	8	400.0	NA
4	8	21	F	Filler	107	5	town	9	315.0	NA
4	8	21	F	Filler	107	5	because	10	334.0	NA
4	8	21	F	Filler	107	5	he	11	332.0	NA
4	8	21	F	Filler	107	5	had	12	303.0	NA
4	8	21	F	Filler	107	5	little	13	299.0	NA
4	8	21	F	Filler	107	5	experience.	14	348.0	NA
4	8	21	F	Question	107	5	NA	NA	1369.0	1
5	8	21	F	Filler	106	5	On	1	364.0	NA
5	8	21	F	Filler	106	5	the	2	265.0	NA
5	8	21	F	Filler	106	5	last	3	282.0	NA
5	8	21	F	Filler	106	5	night	4	316.0	NA
5	8	21	F	Filler	106	5	of	5	268.0	NA
5	8	21	F	Filler	106	5	summer	6	266.0	NA
5	8	21	F	Filler	106	5	camp	7	316.0	NA
5	8	21	F	Filler	106	5	the	8	317.0	NA
5	8	21	F	Filler	106	5	counselors	9	502.0	NA
5	8	21	F	Filler	106	5	let	10	402.0	NA
5	8	21	F	Filler	106	5	the	11	299.0	NA
5	8	21	F	Filler	106	5	children	12	365.0	NA
5	8	21	F	Filler	106	5	stay	13	386.0	NA
5	8	21	F	Filler	106	5	up	14	349.0	NA
5	8	21	F	Filler	106	5	until	15	432.0	NA
5	8	21	F	Filler	106	5	midnight.	16	367.0	NA
5	8	21	F	Question	106	5	NA	NA	2350.0	1
6	8	21	F	swets	7	2	The	1	563.0	NA
6	8	21	F	swets	7	2	nephew	2	317.0	NA
6	8	21	F	swets	7	2	of	3	300.0	NA
6	8	21	F	swets	7	2	the	4	300.0	NA
6	8	21	F	swets	7	2	waitress	5	250.0	NA
6	8	21	F	swets	7	2	who	6	300.0	NA
6	8	21	F	swets	7	2	hurt	7	251.0	NA
6	8	21	F	swets	7	2	herself	8	283.0	NA
6	8	21	F	swets	7	2	on	9	350.0	NA
6	8	21	F	swets	7	2	the	10	267.0	NA
6	8	21	F	swets	7	2	bicycle	11	300.0	NA
6	8	21	F	swets	7	2	was	12	317.0	NA
6	8	21	F	swets	7	2	angry	13	316.0	NA
6	8	21	F	swets	7	2	about	14	268.0	NA
6	8	21	F	swets	7	2	the	15	316.0	NA
6	8	21	F	swets	7	2	incident.	16	331.0	NA
6	8	21	F	Question	7	2	NA	NA	5771.0	1
7	8	21	F	Filler	42	4	After	1	530.0	NA
7	8	21	F	Filler	42	4	dinner	2	331.0	NA
7	8	21	F	Filler	42	4	the	3	270.0	NA
7	8	21	F	Filler	42	4	children	4	263.0	NA
7	8	21	F	Filler	42	4	gathered	5	269.0	NA
7	8	21	F	Filler	42	4	in	6	264.0	NA
7	8	21	F	Filler	42	4	a	7	269.0	NA
7	8	21	F	Filler	42	4	circle	8	264.0	NA
7	8	21	F	Filler	42	4	to	9	270.0	NA
7	8	21	F	Filler	42	4	listen	10	267.0	NA
7	8	21	F	Filler	42	4	to	11	267.0	NA
7	8	21	F	Filler	42	4	their	12	283.0	NA
7	8	21	F	Filler	42	4	grandmother's	13	348.0	NA
7	8	21	F	Filler	42	4	stories	14	602.0	NA
7	8	21	F	Filler	42	4	about	15	451.0	NA
7	8	21	F	Filler	42	4	the	16	350.0	NA
7	8	21	F	Filler	42	4	good	17	283.0	NA
7	8	21	F	Filler	42	4	old	18	333.0	NA
7	8	21	F	Filler	42	4	days.	19	317.0	NA
7	8	21	F	Question	42	4	NA	NA	2134.0	1
8	8	21	F	swets	18	1	The	1	1463.0	NA
8	8	21	F	swets	18	1	nephew	2	301.0	NA
8	8	21	F	swets	18	1	of	3	284.0	NA
8	8	21	F	swets	18	1	the	4	249.0	NA
8	8	21	F	swets	18	1	fisherman	5	298.0	NA
8	8	21	F	swets	18	1	who	6	386.0	NA
8	8	21	F	swets	18	1	drowned	7	584.0	NA
8	8	21	F	swets	18	1	himself	8	366.0	NA
8	8	21	F	swets	18	1	in	9	433.0	NA
8	8	21	F	swets	18	1	the	10	351.0	NA
8	8	21	F	swets	18	1	ocean	11	331.0	NA
8	8	21	F	swets	18	1	didn't	12	383.0	NA
8	8	21	F	swets	18	1	know	13	387.0	NA
8	8	21	F	swets	18	1	about	14	318.0	NA
8	8	21	F	swets	18	1	the	15	350.0	NA
8	8	21	F	swets	18	1	tricky	16	364.0	NA
8	8	21	F	swets	18	1	current.	17	1803.0	NA
8	8	21	F	Question	18	1	NA	NA	1831.0	1
9	8	21	F	Filler	137	7	When	1	396.0	NA
9	8	21	F	Filler	137	7	Leslie	2	267.0	NA
9	8	21	F	Filler	137	7	was	3	283.0	NA
9	8	21	F	Filler	137	7	sneezing	4	284.0	NA
9	8	21	F	Filler	137	7	her	5	413.0	NA
9	8	21	F	Filler	137	7	friends	6	320.0	NA
9	8	21	F	Filler	137	7	laughed	7	301.0	NA
9	8	21	F	Filler	137	7	at	8	317.0	NA
9	8	21	F	Filler	137	7	her.	9	284.0	NA
9	8	21	F	Question	137	7	NA	NA	1697.0	1
10	8	21	F	Filler	37	4	The	1	481.0	NA
10	8	21	F	Filler	37	4	party	2	265.0	NA
10	8	21	F	Filler	37	4	attracted	3	235.0	NA
10	8	21	F	Filler	37	4	the	4	400.0	NA
10	8	21	F	Filler	37	4	fraternity	5	351.0	NA
10	8	21	F	Filler	37	4	members	6	366.0	NA
10	8	21	F	Filler	37	4	whose	7	317.0	NA
10	8	21	F	Filler	37	4	house	8	283.0	NA
10	8	21	F	Filler	37	4	had	9	300.0	NA
10	8	21	F	Filler	37	4	been	10	298.0	NA
10	8	21	F	Filler	37	4	seized	11	386.0	NA
10	8	21	F	Filler	37	4	by	12	299.0	NA
10	8	21	F	Filler	37	4	drug	13	315.0	NA
10	8	21	F	Filler	37	4	agents.	14	334.0	NA
10	8	21	F	Question	37	4	NA	NA	2118.0	1
11	8	21	F	Filler	84	5	While	1	378.0	NA
11	8	21	F	Filler	84	5	talking	2	283.0	NA
11	8	21	F	Filler	84	5	to	3	286.0	NA
11	8	21	F	Filler	84	5	his	4	334.0	NA
11	8	21	F	Filler	84	5	sister	5	315.0	NA
11	8	21	F	Filler	84	5	the	6	318.0	NA
11	8	21	F	Filler	84	5	bishop	7	267.0	NA
11	8	21	F	Filler	84	5	with	8	314.0	NA
11	8	21	F	Filler	84	5	the	9	300.0	NA
11	8	21	F	Filler	84	5	funny	10	285.0	NA
11	8	21	F	Filler	84	5	eyebrows	11	300.0	NA
11	8	21	F	Filler	84	5	advocated	12	400.0	NA
11	8	21	F	Filler	84	5	strange	13	301.0	NA
11	8	21	F	Filler	84	5	beliefs.	14	399.0	NA
11	8	21	F	Question	84	5	NA	NA	2268.0	1
12	8	21	F	Filler	55	4	The	1	914.0	NA
12	8	21	F	Filler	55	4	people	2	333.0	NA
12	8	21	F	Filler	55	4	certainly	3	316.0	NA
12	8	21	F	Filler	55	4	admired	4	299.0	NA
12	8	21	F	Filler	55	4	the	5	302.0	NA
12	8	21	F	Filler	55	4	wife	6	267.0	NA
12	8	21	F	Filler	55	4	of	7	284.0	NA
12	8	21	F	Filler	55	4	the	8	280.0	NA
12	8	21	F	Filler	55	4	janitor	9	300.0	NA
12	8	21	F	Filler	55	4	because	10	384.0	NA
12	8	21	F	Filler	55	4	she	11	335.0	NA
12	8	21	F	Filler	55	4	educated	12	331.0	NA
12	8	21	F	Filler	55	4	herself	13	319.0	NA
12	8	21	F	Filler	55	4	at	14	330.0	NA
12	8	21	F	Filler	55	4	night.	15	287.0	NA
12	8	21	F	Question	55	4	NA	NA	1964.0	1
13	8	21	F	swets	35	3	The	1	447.0	NA
13	8	21	F	swets	35	3	landlady	2	366.0	NA
13	8	21	F	swets	35	3	of	3	319.0	NA
13	8	21	F	swets	35	3	the	4	314.0	NA
13	8	21	F	swets	35	3	businessman	5	633.0	NA
13	8	21	F	swets	35	3	who	6	302.0	NA
13	8	21	F	swets	35	3	had	7	349.0	NA
13	8	21	F	swets	35	3	locked	8	335.0	NA
13	8	21	F	swets	35	3	herself	9	316.0	NA
13	8	21	F	swets	35	3	in	10	1500.0	NA
13	8	21	F	swets	35	3	the	11	352.0	NA
13	8	21	F	swets	35	3	office	12	349.0	NA
13	8	21	F	swets	35	3	received	13	465.0	NA
13	8	21	F	swets	35	3	a	14	319.0	NA
13	8	21	F	swets	35	3	phone	15	383.0	NA
13	8	21	F	swets	35	3	call.	16	284.0	NA
13	8	21	F	Question	35	3	NA	NA	3632.0	0
14	8	21	F	Filler	75	5	The	1	530.0	NA
14	8	21	F	Filler	75	5	musician	2	364.0	NA
14	8	21	F	Filler	75	5	shocked	3	918.0	NA
14	8	21	F	Filler	75	5	the	4	450.0	NA
14	8	21	F	Filler	75	5	audience	5	368.0	NA
14	8	21	F	Filler	75	5	because	6	432.0	NA
14	8	21	F	Filler	75	5	they	7	370.0	NA
14	8	21	F	Filler	75	5	did	8	516.0	NA
14	8	21	F	Filler	75	5	not	9	517.0	NA
14	8	21	F	Filler	75	5	realize	10	464.0	NA
14	8	21	F	Filler	75	5	what	11	384.0	NA
14	8	21	F	Filler	75	5	these	12	319.0	NA
14	8	21	F	Filler	75	5	shows	13	267.0	NA
14	8	21	F	Filler	75	5	were	14	300.0	NA
14	8	21	F	Filler	75	5	like.	15	298.0	NA
14	8	21	F	Question	75	5	NA	NA	2468.0	1
15	8	21	F	Filler	139	7	Laurie	1	712.0	NA
15	8	21	F	Filler	139	7	asked	2	453.0	NA
15	8	21	F	Filler	139	7	which	3	383.0	NA
15	8	21	F	Filler	139	7	truck	4	366.0	NA
15	8	21	F	Filler	139	7	the	5	397.0	NA
15	8	21	F	Filler	139	7	dealership	6	353.0	NA
15	8	21	F	Filler	139	7	sold	7	398.0	NA
15	8	21	F	Filler	139	7	but	8	366.0	NA
15	8	21	F	Filler	139	7	didn't	9	434.0	NA
15	8	21	F	Filler	139	7	paint	10	385.0	NA
15	8	21	F	Filler	139	7	completely.	11	884.0	NA
15	8	21	F	Question	139	7	NA	NA	2101.0	1
