trial	subj	age	gender	stimulustype	item	condition	word	position	rt	correct
0	31	19	F	Filler	102	5	The	1	345.0	NA
0	31	19	F	Filler	102	5	old	2	250.0	NA
0	31	19	F	Filler	102	5	man	3	135.0	NA
0	31	19	F	Filler	102	5	appeared	4	167.0	NA
0	31	19	F	Filler	102	5	to	5	252.0	NA
0	31	19	F	Filler	102	5	be	6	266.0	NA
0	31	19	F	Filler	102	5	upset	7	134.0	NA
0	31	19	F	Filler	102	5	by	8	199.0	NA
0	31	19	F	Filler	102	5	the	9	135.0	NA
0	31	19	F	Filler	102	5	teenager's	10	147.0	NA
0	31	19	F	Filler	102	5	ignorant	11	382.0	NA
0	31	19	F	Filler	102	5	remark.	12	251.0	NA
0	31	19	F	Question	102	5	NA	NA	912.0	1
1	31	19	F	Filler	39	4	The	1	246.0	NA
1	31	19	F	Filler	39	4	overweight	2	130.0	NA
1	31	19	F	Filler	39	4	aunt	3	117.0	NA
1	31	19	F	Filler	39	4	decided	4	132.0	NA
1	31	19	F	Filler	39	4	to	5	152.0	NA
1	31	19	F	Filler	39	4	make	6	235.0	NA
1	31	19	F	Filler	39	4	cookies	7	99.0	NA
1	31	19	F	Filler	39	4	and	8	151.0	NA
1	31	19	F	Filler	39	4	cupcakes	9	197.0	NA
1	31	19	F	Filler	39	4	for	10	186.0	NA
1	31	19	F	Filler	39	4	the	11	217.0	NA
1	31	19	F	Filler	39	4	dinner	12	114.0	NA
1	31	19	F	Filler	39	4	party.	13	269.0	NA
1	31	19	F	Question	39	4	NA	NA	1038.0	1
2	31	19	F	swets	22	1	The	1	461.0	NA
2	31	19	F	swets	22	1	nephew	2	86.0	NA
2	31	19	F	swets	22	1	of	3	83.0	NA
2	31	19	F	swets	22	1	the	4	134.0	NA
2	31	19	F	swets	22	1	commander	5	167.0	NA
2	31	19	F	swets	22	1	who	6	164.0	NA
2	31	19	F	swets	22	1	calmed	7	183.0	NA
2	31	19	F	swets	22	1	himself	8	168.0	NA
2	31	19	F	swets	22	1	after	9	152.0	NA
2	31	19	F	swets	22	1	the	10	165.0	NA
2	31	19	F	swets	22	1	tragedy	11	219.0	NA
2	31	19	F	swets	22	1	was	12	165.0	NA
2	31	19	F	swets	22	1	waiting	13	151.0	NA
2	31	19	F	swets	22	1	for	14	150.0	NA
2	31	19	F	swets	22	1	the	15	165.0	NA
2	31	19	F	swets	22	1	doctor.	16	102.0	NA
2	31	19	F	Question	22	1	NA	NA	1278.0	1
3	31	19	F	Filler	128	7	While	1	228.0	NA
3	31	19	F	Filler	128	7	the	2	36.0	NA
3	31	19	F	Filler	128	7	man	3	133.0	NA
3	31	19	F	Filler	128	7	was	4	100.0	NA
3	31	19	F	Filler	128	7	walking	5	81.0	NA
3	31	19	F	Filler	128	7	the	6	184.0	NA
3	31	19	F	Filler	128	7	poodle	7	83.0	NA
3	31	19	F	Filler	128	7	barked	8	120.0	NA
3	31	19	F	Filler	128	7	loudly.	9	234.0	NA
3	31	19	F	Question	128	7	NA	NA	811.0	1
4	31	19	F	Filler	101	5	The	1	262.0	NA
4	31	19	F	Filler	101	5	friendly	2	102.0	NA
4	31	19	F	Filler	101	5	woman	3	114.0	NA
4	31	19	F	Filler	101	5	was	4	152.0	NA
4	31	19	F	Filler	101	5	insulted	5	166.0	NA
4	31	19	F	Filler	101	5	by	6	335.0	NA
4	31	19	F	Filler	101	5	the	7	149.0	NA
4	31	19	F	Filler	101	5	rude	8	150.0	NA
4	31	19	F	Filler	101	5	stranger	9	104.0	NA
4	31	19	F	Filler	101	5	because	10	149.0	NA
4	31	19	F	Filler	101	5	he	11	168.0	NA
4	31	19	F	Filler	101	5	didn't	12	216.0	NA
4	31	19	F	Filler	101	5	smile	13	99.0	NA
4	31	19	F	Filler	101	5	at	14	101.0	NA
4	31	19	F	Filler	101	5	her.	15	316.0	NA
4	31	19	F	Question	101	5	NA	NA	1976.0	1
5	31	19	F	swets	14	2	The	1	213.0	NA
5	31	19	F	swets	14	2	father	2	149.0	NA
5	31	19	F	swets	14	2	of	3	100.0	NA
5	31	19	F	swets	14	2	the	4	183.0	NA
5	31	19	F	swets	14	2	nurse	5	284.0	NA
5	31	19	F	swets	14	2	who	6	148.0	NA
5	31	19	F	swets	14	2	injured	7	149.0	NA
5	31	19	F	swets	14	2	herself	8	350.0	NA
5	31	19	F	swets	14	2	last	9	153.0	NA
5	31	19	F	swets	14	2	summer	10	163.0	NA
5	31	19	F	swets	14	2	had	11	237.0	NA
5	31	19	F	swets	14	2	lived	12	180.0	NA
5	31	19	F	swets	14	2	in	13	168.0	NA
5	31	19	F	swets	14	2	Wales.	14	185.0	NA
5	31	19	F	Question	14	2	NA	NA	741.0	1
